quote_id,opportunity_id,list_price,quoted_price,discount_percent,quote_status,quote_date
1,1,18000,10980.0,39,Approved,2025-09-07
2,2,22000,19580.0,11,Approved,2025-08-16
3,3,30000,27000.0,10,Draft,2025-02-21
4,4,25000,16000.0,36,Accepted,2025-04-18
5,5,12000,10200.0,15,Approved,2025-02-24
6,6,22000,21560.0,2,Accepted,2025-09-30
7,7,25000,25000.0,0,Accepted,2025-03-07
8,8,30000,28500.0,5,Rejected,2025-07-20
9,9,22000,12980.0,41,Rejected,2025-03-28
10,10,30000,29400.0,2,Rejected,2025-07-26
11,11,22000,16060.0,27,Draft,2025-03-11
12,12,18000,14400.0,20,Accepted,2025-11-01
13,13,18000,11520.0,36,Approved,2025-05-05
14,14,30000,17700.0,41,Accepted,2025-06-06
15,15,18000,16920.0,6,Accepted,2025-05-30
16,16,12000,10080.0,16,Accepted,2025-03-10
17,17,30000,15600.0,48,Draft,2025-10-10
18,18,22000,13420.0,39,Draft,2025-11-03
19,19,30000,23700.0,21,Approved,2025-09-03
20,20,12000,10680.0,11,Draft,2025-03-05
21,21,25000,21500.0,14,Rejected,2025-07-11
22,22,30000,27900.0,7,Accepted,2025-01-24
23,23,30000,26400.0,12,Accepted,2025-01-31
24,24,30000,20700.0,31,Draft,2025-09-09
25,25,25000,13000.0,48,Rejected,2025-03-05
26,26,25000,22500.0,10,Approved,2025-05-07
27,27,18000,12060.0,33,Rejected,2025-07-13
28,28,25000,16250.0,35,Approved,2025-09-17
29,29,30000,30000.0,0,Draft,2025-05-07
30,30,22000,13860.0,37,Approved,2025-04-21
31,31,12000,6840.0,43,Approved,2025-09-15
32,32,12000,5880.0,51,Accepted,2025-02-05
33,33,18000,14400.0,20,Draft,2025-05-29
34,34,25000,22250.0,11,Accepted,2025-05-08
35,35,25000,14750.0,41,Accepted,2025-03-11
36,36,12000,8880.0,26,Approved,2025-07-11
37,37,12000,9120.0,24,Approved,2025-04-04
38,38,25000,11250.0,55,Accepted,2025-05-03
39,39,12000,8400.0,30,Draft,2025-08-05
40,40,18000,13860.0,23,Accepted,2025-01-28
41,41,22000,10780.0,51,Rejected,2025-03-02
42,42,22000,21780.0,1,Approved,2025-04-05
43,43,22000,12980.0,41,Approved,2025-08-15
44,44,18000,17640.0,2,Approved,2025-10-27
45,45,22000,21560.0,2,Draft,2025-09-24
46,46,30000,15300.0,49,Approved,2025-07-17
47,47,22000,11880.0,46,Accepted,2025-08-19
48,48,12000,10920.0,9,Accepted,2025-02-25
49,49,25000,16000.0,36,Draft,2025-04-03
50,50,22000,10560.0,52,Draft,2025-05-22
51,51,18000,12420.0,31,Approved,2025-08-10
52,52,25000,19750.0,21,Approved,2025-06-14
53,53,22000,12320.0,44,Approved,2025-03-09
54,54,22000,17160.0,22,Approved,2025-04-05
55,55,12000,10440.0,13,Rejected,2025-10-03
56,56,30000,15000.0,50,Rejected,2025-08-25
57,57,18000,10620.0,41,Rejected,2025-10-17
58,58,30000,29400.0,2,Accepted,2025-10-05
59,59,25000,13750.0,45,Accepted,2025-03-29
60,60,22000,17380.0,21,Rejected,2025-09-06
61,61,25000,19750.0,21,Draft,2025-02-28
62,62,30000,18300.0,39,Draft,2025-05-13
63,63,25000,12500.0,50,Approved,2025-07-18
64,64,30000,26100.0,13,Accepted,2025-03-10
65,65,18000,14040.0,22,Draft,2025-10-30
66,66,30000,13500.0,55,Accepted,2025-09-14
67,67,25000,22500.0,10,Approved,2025-04-11
68,68,12000,8280.0,31,Draft,2025-08-11
69,69,30000,28200.0,6,Draft,2025-07-19
70,70,18000,17460.0,3,Accepted,2025-04-30
71,71,18000,15300.0,15,Approved,2025-09-11
72,72,30000,29100.0,3,Rejected,2025-01-27
73,73,18000,10980.0,39,Draft,2025-04-12
74,74,12000,6120.0,49,Accepted,2025-01-07
75,75,12000,9000.0,25,Rejected,2025-06-01
76,76,22000,18260.0,17,Rejected,2025-05-25
77,77,12000,11280.0,6,Approved,2025-09-20
78,78,30000,28800.0,4,Accepted,2025-03-27
79,79,22000,11000.0,50,Rejected,2025-02-04
80,80,30000,17700.0,41,Accepted,2025-07-02
81,81,30000,29700.0,1,Approved,2025-07-31
82,82,12000,8400.0,30,Approved,2025-02-16
83,83,18000,16740.0,7,Accepted,2025-04-18
84,84,30000,23700.0,21,Approved,2025-02-22
85,85,12000,9240.0,23,Approved,2025-04-25
86,86,12000,10800.0,10,Approved,2025-07-13
87,87,25000,15750.0,37,Draft,2025-06-16
88,88,18000,16200.0,10,Rejected,2025-08-02
89,89,25000,13250.0,47,Draft,2025-05-31
90,90,30000,27000.0,10,Draft,2025-04-03
91,91,25000,23500.0,6,Accepted,2025-07-15
92,92,30000,15900.0,47,Rejected,2025-05-23
93,93,12000,7080.0,41,Approved,2025-04-22
94,94,30000,30000.0,0,Approved,2025-01-19
95,95,18000,11340.0,37,Rejected,2025-07-02
96,96,12000,9480.0,21,Accepted,2025-10-16
97,97,30000,16800.0,44,Accepted,2025-07-31
98,98,18000,10980.0,39,Draft,2025-06-13
99,99,30000,15600.0,48,Approved,2025-10-31
100,100,25000,23250.0,7,Accepted,2025-10-14
101,101,25000,22750.0,9,Draft,2025-03-29
102,102,25000,18000.0,28,Rejected,2025-04-05
103,103,25000,12250.0,51,Accepted,2025-03-31
104,104,22000,18700.0,15,Approved,2025-07-23
105,105,22000,16500.0,25,Draft,2025-07-25
106,106,25000,20250.0,19,Draft,2025-08-10
107,107,22000,19800.0,10,Accepted,2025-04-06
108,108,18000,15840.0,12,Approved,2025-02-28
109,109,25000,17750.0,29,Rejected,2025-07-04
110,110,22000,21560.0,2,Approved,2025-01-22
111,111,25000,20500.0,18,Rejected,2025-07-05
112,112,22000,20680.0,6,Draft,2025-11-03
113,113,22000,14080.0,36,Accepted,2025-08-15
114,114,18000,10980.0,39,Accepted,2025-10-03
115,115,18000,10800.0,40,Accepted,2025-08-20
116,116,12000,9840.0,18,Approved,2025-06-02
117,117,30000,28200.0,6,Approved,2025-05-31
118,118,22000,10780.0,51,Accepted,2025-07-12
119,119,18000,14760.0,18,Rejected,2025-06-11
120,120,22000,21340.0,3,Approved,2025-03-10
121,121,30000,24900.0,17,Draft,2025-10-18
122,122,25000,21500.0,14,Rejected,2025-07-08
123,123,25000,24000.0,4,Approved,2025-02-28
124,124,25000,23500.0,6,Rejected,2025-07-10
125,125,12000,7200.0,40,Accepted,2025-08-12
126,126,18000,11160.0,38,Rejected,2025-02-01
127,127,25000,18250.0,27,Approved,2025-06-04
128,128,30000,15300.0,49,Approved,2025-01-18
129,129,22000,18260.0,17,Approved,2025-06-17
130,130,12000,9600.0,20,Rejected,2025-06-04
131,131,30000,19200.0,36,Accepted,2025-01-15
132,132,18000,14220.0,21,Draft,2025-04-23
133,133,22000,13860.0,37,Approved,2025-02-21
134,134,12000,9480.0,21,Accepted,2025-06-12
135,135,12000,7200.0,40,Accepted,2025-07-09
136,136,12000,8640.0,28,Accepted,2025-05-12
137,137,22000,20240.0,8,Accepted,2025-05-07
138,138,25000,21750.0,13,Rejected,2025-08-05
139,139,30000,27000.0,10,Rejected,2025-06-28
140,140,22000,10780.0,51,Accepted,2025-05-30
141,141,25000,24000.0,4,Rejected,2025-09-03
142,142,12000,10080.0,16,Approved,2025-08-16
143,143,30000,25800.0,14,Approved,2025-02-23
144,144,12000,11880.0,1,Accepted,2025-09-16
145,145,30000,19200.0,36,Accepted,2025-04-02
146,146,25000,20500.0,18,Rejected,2025-03-23
147,147,12000,5640.0,53,Accepted,2025-08-20
148,148,22000,15840.0,28,Rejected,2025-04-12
149,149,12000,12000.0,0,Rejected,2025-10-05
150,150,22000,19800.0,10,Draft,2025-10-16
151,151,12000,11400.0,5,Accepted,2025-07-26
152,152,30000,21900.0,27,Rejected,2025-03-02
153,153,30000,26700.0,11,Draft,2025-08-15
154,154,25000,15000.0,40,Draft,2025-07-07
155,155,22000,20460.0,7,Draft,2025-09-01
156,156,18000,9000.0,50,Accepted,2025-04-04
157,157,25000,18500.0,26,Rejected,2025-06-27
158,158,18000,8460.0,53,Accepted,2025-03-17
159,159,22000,11880.0,46,Accepted,2025-11-06
160,160,12000,8040.0,33,Rejected,2025-08-16
161,161,25000,22750.0,9,Draft,2025-06-20
162,162,22000,15180.0,31,Rejected,2025-09-23
163,163,12000,9600.0,20,Accepted,2025-03-20
164,164,12000,5880.0,51,Rejected,2025-10-20
165,165,30000,19200.0,36,Approved,2025-01-30
166,166,18000,14940.0,17,Approved,2025-10-16
167,167,30000,18300.0,39,Draft,2025-05-11
168,168,22000,12100.0,45,Rejected,2025-06-09
169,169,12000,9600.0,20,Rejected,2025-04-23
170,170,30000,23400.0,22,Draft,2025-06-27
171,171,12000,11160.0,7,Approved,2025-10-24
172,172,22000,10340.0,53,Rejected,2025-03-09
173,173,30000,29700.0,1,Draft,2025-08-12
174,174,25000,15500.0,38,Rejected,2025-06-15
175,175,18000,11520.0,36,Approved,2025-08-23
176,176,12000,10560.0,12,Accepted,2025-04-04
177,177,18000,16200.0,10,Rejected,2025-04-07
178,178,25000,24500.0,2,Rejected,2025-10-05
179,179,18000,12240.0,32,Approved,2025-06-27
180,180,22000,13420.0,39,Accepted,2025-03-30
181,181,30000,26400.0,12,Draft,2025-05-17
182,182,25000,12500.0,50,Approved,2025-09-03
183,183,22000,18480.0,16,Draft,2025-02-14
184,184,25000,22250.0,11,Accepted,2025-04-20
185,185,18000,15120.0,16,Accepted,2025-07-01
186,186,25000,16250.0,35,Draft,2025-06-10
187,187,25000,18750.0,25,Draft,2025-01-30
188,188,22000,12320.0,44,Draft,2025-02-03
189,189,18000,14040.0,22,Draft,2025-03-04
190,190,12000,7200.0,40,Accepted,2025-06-05
191,191,12000,9840.0,18,Accepted,2025-06-02
192,192,18000,9900.0,45,Approved,2025-06-15
193,193,25000,24750.0,1,Draft,2025-07-10
194,194,18000,9720.0,46,Rejected,2025-03-08
195,195,22000,16060.0,27,Approved,2025-07-24
196,196,12000,10200.0,15,Approved,2025-11-04
197,197,12000,11520.0,4,Rejected,2025-10-15
198,198,12000,8760.0,27,Draft,2025-02-20
199,199,22000,13640.0,38,Approved,2025-04-20
200,200,30000,28200.0,6,Approved,2025-06-04
201,201,22000,14300.0,35,Approved,2025-03-30
202,202,18000,9000.0,50,Approved,2025-11-09
203,203,30000,24900.0,17,Draft,2025-04-09
204,204,30000,21600.0,28,Approved,2025-02-09
205,205,25000,24750.0,1,Accepted,2025-08-13
206,206,25000,16250.0,35,Draft,2025-03-16
207,207,25000,23250.0,7,Draft,2025-04-21
208,208,12000,7560.0,37,Accepted,2025-09-29
209,209,25000,17500.0,30,Accepted,2025-06-14
210,210,12000,6960.0,42,Approved,2025-10-04
211,211,12000,11640.0,3,Draft,2025-07-07
212,212,12000,11160.0,7,Draft,2025-07-20
213,213,18000,10440.0,42,Rejected,2025-04-19
214,214,30000,29700.0,1,Approved,2025-02-14
215,215,18000,9540.0,47,Approved,2025-08-17
216,216,30000,22200.0,26,Rejected,2025-04-08
217,217,18000,8460.0,53,Draft,2025-01-25
218,218,22000,20020.0,9,Rejected,2025-07-14
219,219,12000,10560.0,12,Rejected,2025-02-11
220,220,22000,16060.0,27,Accepted,2025-01-04
221,221,18000,12780.0,29,Accepted,2025-03-02
222,222,30000,26100.0,13,Rejected,2025-03-31
223,223,12000,10320.0,14,Approved,2025-03-07
224,224,25000,22250.0,11,Draft,2025-10-04
225,225,18000,10800.0,40,Draft,2025-04-02
226,226,12000,7080.0,41,Draft,2025-04-13
227,227,12000,6720.0,44,Accepted,2025-01-10
228,228,18000,12240.0,32,Approved,2025-08-22
229,229,12000,10320.0,14,Draft,2025-06-24
230,230,18000,16920.0,6,Draft,2025-02-25
231,231,12000,8520.0,29,Rejected,2025-10-22
232,232,22000,21560.0,2,Rejected,2025-03-16
233,233,22000,21340.0,3,Rejected,2025-10-02
234,234,25000,17750.0,29,Draft,2025-10-10
235,235,30000,15900.0,47,Approved,2025-05-01
236,236,25000,19250.0,23,Rejected,2025-05-05
237,237,30000,22500.0,25,Rejected,2025-06-17
238,238,22000,13640.0,38,Accepted,2025-06-16
239,239,30000,28200.0,6,Rejected,2025-02-20
240,240,25000,15000.0,40,Rejected,2025-08-11
241,241,25000,17000.0,32,Accepted,2025-03-27
242,242,30000,27600.0,8,Rejected,2025-05-24
243,243,12000,10800.0,10,Rejected,2025-09-10
244,244,18000,17100.0,5,Draft,2025-09-07
245,245,18000,14220.0,21,Approved,2025-03-16
246,246,25000,24000.0,4,Approved,2025-03-03
247,247,30000,25500.0,15,Approved,2025-09-14
248,248,12000,5760.0,52,Draft,2025-05-18
249,249,18000,16920.0,6,Draft,2025-05-07
250,250,30000,18600.0,38,Rejected,2025-10-30
251,251,30000,20100.0,33,Approved,2025-03-11
252,252,25000,11500.0,54,Rejected,2025-08-07
253,253,12000,6720.0,44,Accepted,2025-02-02
254,254,22000,17600.0,20,Approved,2025-01-15
255,255,22000,12760.0,42,Rejected,2025-07-20
256,256,25000,22500.0,10,Accepted,2025-05-20
257,257,30000,28500.0,5,Rejected,2025-04-11
258,258,18000,17640.0,2,Approved,2025-07-01
